ID,String
11201004,포션
21201004,모든 능력치가 회복되는 만능 포션
1111111,두건
1111112,천으로 만든 두건
1111113,천갑옷
1111114,천으로 만든 갑옷
1111115,면바지
1111116,천으로 만든 바지
1111117,신발
1111118,가장 기본적인 신발
1,테스트 용 아이템
2,테스트 용 입니다
1000,이동
1001,해당 위치로 이동하세요
1002,늑대 처치
1003,늑대 몬스터 10마리를 사냥하세요
1004,곰 처치
1005,곰 몬스터 5마리 사냥
1006,나무 농장 건설하기
1007,나무 농장을 건설하세요
1008,아이템 제작
1009,아이템을 제작하세요
12181218,기본포탑
3,유물
4,유물의 힘이 담긴 아이템
90000001,조잡한 나무검
90000002,고급나무검
90000003,철장도
90000004,돌 곡괭이
90000005,돌 도끼
90000006,야만인들이 쓸 것 같은 이상한 모양의 나무검이다
90000007,나무로써 만들 수 있는 최고의 검인 듯
90000008,원시적이지만 훌륭한 철제검
90000009,돌로 만든 곡괭이로 돌이랑 철을 캘 수 있다
90000010,돌로 깍은 도끼로 나무를 베기에 용이하다
90000011,토끼
90000012,여우
90000013,멧돼지
90000014,사슴
90000015,돌덩이
90000016,고기
90000017,가죽
90000018,나무
90000019,섬유 식물
90000020,먹으면 포만감을 회복할 수 있다
90000021,옷이나 무기를 만드는데 유용한 재료
90000022,주로 건설이나 제작에 필요한 기초적인 재료
90000023,기초적인 의류 제작에 쓰일 수 있다
90000024,움집
90000025,창고
90000026,나무 농장
90000027,돌 농장
90000028,무기 제작소
90000029,방어구 제작소
90000030,소비품 제작소
90000031,나무 벽
90000032,휴식을 취할 수 있는 건물
90000033,여러 물품들을 보관할 수 있다
90000034,유물의 힘으로 나무를 생산한다
90000035,유물의 힘으로 돌을 생산한다
90000036,무기를 제작할 수 있는 건물
90000037,방어구를 제작할 수 있는 건물
90000038,요리나 회복 물품들을 제작할 수 있는 건물
90000039,벽이라고는 하지만 금방 부서질 것 같다
90000040,적당한 충격에도 끄떡 없다
90000041,현대시대에서 최고의 벽이라고 할 수 있다
90000042,낡은 모자
90000043,일반 모자
90000044,낡은 상의
90000045,일반 상의
90000046,낡은 하의
90000047,일반 하의
90000048,낡은 신발
90000049,일반 신발
90000050,섬유 식물로 엮어만든 모자
90000051,동물 가죽을 이용해서 튼튼하다
90000052,섬유 식물로 엮어만든 상의
90000053,가죽으로 만들어서 내구성이 좋다
90000054,섬유 식물로 엮어만든 바지
90000055,가죽으로 만들어서 따듯하다
90000056,섬유 식물로 엮어만든 신발
90000057,가죽으로 인해 내구성과 탄력이 좋아졌다
90000058,낡은 모자 설계도
90000059,일반 모자 설계도
90000060,낡은 상의 설계도
90000061,일반 상의 설계도
90000062,낡은 하의 설계도
90000063,일반 하의 설계도
90000064,낡은 신발 설계도
90000065,일반 신발 설계도
90000066,조잡한 나무검 설계도
90000067,고급나무검 설계도
90000068,철장도 설계도
90000069,돌 곡괭이 설계도
90000070,돌 도끼 설계도
90000071,늑대
90000072,곰
90000073,재규어
90000074,라쿤
90000075,천막 집
90000076,돌 벽
90000077,벽돌 집
90000078,철 벽
90000079,철광석
90000080,뭘 만들어도 좋을 것 같은 재료
90000081,철 도검
90000082,철 대검
90000083,철 도끼
90000084,철 곡괭이
90000085,모양새는 엉망이지만 검의 성능은 확실하다 
90000086,터무니없이 무거운 무게를 가지고 있지만 파괴력은 일품이다
90000087,나무가 잘 베어질 것 같다
90000088,뭐든 캘 수 있을 것 같다
90000089,철 도검 설계도
90000090,철 대검 설계도
90000091,철 도끼 설계도
90000092,철 곡괭이 설계도
90000093,나무 방벽
90000094,가시 돌벽
90000095,철가시 덫
90000096,몬스터로부터 방어와 공격을 할 수 있지만 나무라서 오래 버티진 못한다
90000097,달려드는 몬스터한테 최적인 돌가시이지만 여러 마리가 오면 부서질 수 있다
90000098,철을 이용해 덫으로 개조하여 만들었다. 생긴 것에 비해 내구성이 뛰어나다
90000099,물
90000100,수분을 많이 회복시켜준다
90000101,물 농장
90000102,지하로부터 물을 끌어와 생산한다
90000103,나무 도끼
90000104,나무 곡괭이
90000105,나무를 벨 수 있다
90000106,돌을 캘 수 있다
90000107,나무 도끼 설계도
90000108,나무 곡괭이 설계도
90000109,체리
90000110,청포도
90000111,체리 음료
90000112,청포도 음료
90000113,수분과 피로도를 조금 회복시켜준다
90000114,포만감과 피로도를 조금 회복시켜준다
90000115,체력뿐만 아니라 수분과 피로도를 조금 더 회복시켜준다
90000116,체력뿐만 아니라 포만감과 피로도를 조금 더 회복시켜준다
90000117,체리 음료 설계도
90000118,청포도 음료 설계도
90000119,가이드 퀘스트 1-1
90000120,가이드 퀘스트 1-2
90000121,가이드 퀘스트 1-3
90000122,가이드 퀘스트 1-4
90000123,가이드 퀘스트 1-5
90000124,가이드 퀘스트 1-6
90000125,가이드 퀘스트 1-7
90000126,가이드 퀘스트 1-8
90000127,가이드 퀘스트 1-9
90000128,가이드 퀘스트 1-10
90000129,가이드 퀘스트 1-11
90000130,가이드 퀘스트 1-12
90000131,가이드 퀘스트 1-13
90000132,가이드 퀘스트 1-14
90000133,가이드 퀘스트 1-15
90000134,해당 지점으로 이동
90000135,나무 자원 채집
90000136,돌 자원 채집
90000137,나무 도끼 제작
90000138,거점으로 이동
90000139,움집 건설
90000140,나무 곡괭이 제작
90000142,무기 제작소 건설
90000143,조잡한 나무검 제작
90000144,토끼 사냥하기
90000145,고기 섭취
90000146,방어구 제작소 건설
90000147,섬유 식물 채집
90000148,여우 사냥하기
90000149,고기 획득
90000150,가죽 획득
90000151,가시 포탑
90000152,몬스터가 다가오면 창으로 찔러 죽일 수 있다
90000153,나무 집
90000154,별장
90000155,무한의 유물
90000156,현자의 유물
90000157,시간의 유물
90000158,꿈의 유물
90000159,페도라
90000160,군용 모자
90000161,에스키모 모자
90000162,FAST 헬멧
90000163,와이셔츠
90000164,기능복
90000165,후드집업
90000166,군용방탄복 상의
90000167,청바지
90000168,기능 반바지
90000169,추리닝바지
90000170,군용방탄복 하의
90000171,패션화
90000172,운동화
90000173,작업화
90000174,전투화
90000175,신비한 힘을 가지고 있다
90000176,섬유식물을 세세하게 엮어 만든 모자
90000177,조금 더 전투에 용이하게 제작된 모자
90000178,쓰면 따듯하다
90000179,특수부대들이 쓰는 전투모로써 최고의 성능을 자랑한다
90000180,외적으로도 캐주얼하고 편리하다
90000181,외형은 별로지만 옷으로 기능은 다한다
90000182,어느 정도 추위를 막아준다
90000183,특수부대들이 착용하는 전투복으로 총알도 막아준다
90000184,현대 시대의 필수 패션 바지
90000185,보호하는 기능은 모르겠지만 움직이기 편하다
90000186,몸을 움직일 때 편하고 신축성이 좋다
90000187,위장할 때 용이하고 통기성과 내구성이 뛰어나다
90000188,보는 사람은 없지만 
90000189,운동화라고 할 수 있을 정도로 편리하다
90000190,채집이나 뜨거운 작업을 할 때 신는다
90000191,군용 전술에 쓰이는 신발
90000192,페도라 설계도
90000193,군용 모자 설계도
90000194,에스키모 모자 설계도
90000195,FAST 헬멧 설계도
90000196,와이셔츠 설계도
90000197,기능복 설계도
90000198,후드집업 설계도
90000199,군용방탄복 상의 설계도
90000200,청바지 설계도
90000201,기능 반바지 설계도
90000202,추리닝바지 설계도
90000203,군용방탄복 하의 설계도
90000204,패션화 설계도
90000205,운동화 설계도
90000206,작업화 설계도
90000207,전투화 설계도
90000208,고릴라
90000209,말
90000210,사막 여우
90000211,사막혹멧돼지
90000212,사자
90000213,아라비아 표범
90000214,말코손바닥사슴
90000215,갈색 토끼
90000216,푸른털 늑대
90000217,북극곰
90000218,백호
90000219,엘리트 멧돼지
90000220,엘리트 늑대
90000221,엘리트 곰
90000222,엘리트 재규어
90000223,엘리트 고릴라
90000224,엘리트 사자
90000225,엘리트 표범
90000226,엘리트 북극곰
90000227,엘리트 호랑이
90000228,간이 나무집
90000229,안전한 집
90000230,방공호
90000231,가이드 퀘스트 1-16
90000232,가이드 퀘스트 1-17
90000233,가이드 퀘스트 1-18
90000234,가이드 퀘스트 1-19
90000235,가이드 퀘스트 1-20
90000236,가이드 퀘스트 1-21
90000237,가이드 퀘스트 1-22
90000238,가이드 퀘스트 1-23
90000239,가이드 퀘스트 1-24
90000240,가이드 퀘스트 1-25
90000241,가이드 퀘스트 1-26
90000242,가이드 퀘스트 1-27
90000243,가이드 퀘스트 1-28
90000244,가이드 퀘스트 1-29
90000245,가이드 퀘스트 1-30
90000246,가이드 퀘스트 1-31
90000247,가이드 퀘스트 1-32
90000248,가이드 퀘스트 1-33
90000249,가이드 퀘스트 1-34
90000250,가이드 퀘스트 1-35
90000251,일류셰프가 만들었다 할 정도로 잘 만든 빵. 포만감과 피로도를 크게 회복시켜준다
90000252,데모나이트 광석
90000253,가이드 퀘스트 1-36
90000254,크림테인 광석
90000255,섬의 신비한 힘과 달의 빛을 받아 형성되었다
90000256,몬스터들한테 느껴지는 힘과 비슷한 힘이 흐른다
90000257,낡은 하의 제작
90000258,낡은 신발 제작
90000259,웨이브 거점 정찰
90000260,낡은 모자 제작
90000261,낡은 상의 제작
90000262,웨이브 멧돼지 처치
90000263,소비품 제작소 건설
90000264,체리음료 제작
90000265,웨이브 거점 파괴
90000266,유물 아이템 획득
90000267,코어 유물 반납
90000268,나무 울타리 설치
90000269,창고 건설
90000270,나무 농장 건설
90000271,돌 농장 건설
90000272,물 농장 건설
90000273,나무 방벽 설치
90000274,움집 업그레이드
90000275,다음 구역으로 이동
90000276,힘의 유물
90000277,벌꿀 집
90000278,커피콩
90000279,밀
90000280,커피 쿠키
90000281,커피
90000282,구운 꿀식빵
90000283,호밀 빵
90000284,달고 쓰다. 피로도를 조금 회복시켜준다
90000285,쓰기만한 콩. 피로도를 조금 회복시켜준다
90000286,섬에서 밀가루는 중요하다. 근데 왜 이상한 냄새가...
90000287,커피콩과 밀로 만든 쿠키. 맛은 없지만 이게 행복이다
90000288,꿀과 커피콩으로 만들어서 맛있다. 피로도와 수분을 회복시켜준다
90000289,구운 식빵에 꿀을 발라서 달고 맛있다. 피로도를 크게 회복시켜준다
90000290,데모나이트 도끼
90000291,데모나이트 곡괭이
90000292,크림테인 도끼
90000293,크림테인 곡괭이
90000294,천공의 마신
90000295,파멸의 구원자
90000296,공격 속도가 빠른 도끼
90000297,하늘 아래 이보다 이쁜 곡괭이는 없다
90000298,내구성이 좋은 도끼
90000299,생긴건 장난감이지만 위력은 세다
90000300,하늘이 갈라지고 바다가 날리는 힘을 가졌다
90000301,지옥이 있다면 이곳이 아닐까
90000302,커피 쿠키 설계도
90000303,커피 설계도
90000304,구운 꿀식빵 설계도
90000305,호밀 빵 설계도
90000306,데모나이트 도끼 설계도
90000307,데모나이트 곡괭이 설계도
90000308,크림테인 도끼 설계도
90000309,크림테인 곡괭이 설계도
90000310,천공의 마신 설계도
90000311,파멸의 구원자 설계도
90000312,가이드 퀘스트 2-1
90000313,가이드 퀘스트 2-2
90000314,가이드 퀘스트 2-3
90000315,가이드 퀘스트 2-4
90000316,가이드 퀘스트 2-5
90000317,가이드 퀘스트 3-1
90000318,가이드 퀘스트 3-2
90000319,가이드 퀘스트 3-3
90000320,가이드 퀘스트 3-4
90000321,가이드 퀘스트 3-5
90000322,거점에서 유물 반납
